scenario,policy,scenario_seed,requests,delivered,on_time,rejected,priority_requests,priority_on_time,unfinished,travel_ticks,distance,energy_used,energy_charged,delay,reward,on_time_rate,completion_rate,priority_service,distance_per_delivery,mean_delay,latency_median_ms
standard,nearest,1000000,42,18,7,18,10,2,6,89,69,69,45,117,-262.94999999999993,0.16666666666666666,0.42857142857142855,0.2,3.8333333333333335,6.5,0.007205999992265788
standard,nearest,1000001,37,26,17,8,10,5,3,86,71,71,45,48,70.10000000000001,0.4594594594594595,0.7027027027027027,0.5,2.730769230769231,1.8461538461538463,0.006865999978344917
standard,nearest,1000002,34,22,8,8,6,3,4,86,73,73,48,115,8.629999999999988,0.23529411764705882,0.6470588235294118,0.5,3.3181818181818183,5.2272727272727275,0.006685500011371914
standard,nearest,1000003,38,20,9,14,11,5,4,83,72,72,48,140,-75.82,0.23684210526315788,0.5263157894736842,0.45454545454545453,3.6,7.0,0.006740000003446767
standard,nearest,1000004,28,18,14,4,7,4,6,84,74,74,51,29,18.510000000000005,0.5,0.6428571428571429,0.5714285714285714,4.111111111111111,1.6111111111111112,0.006629999973029044
standard,nearest,1000005,25,23,13,0,7,6,2,83,73,73,54,81,212.54000000000005,0.52,0.92,0.8571428571428571,3.1739130434782608,3.5217391304347827,0.006509999991521909
standard,nearest,1000006,28,21,8,7,8,4,0,86,76,76,48,151,76.52999999999997,0.2857142857142857,0.75,0.5,3.619047619047619,7.190476190476191,0.006429499990190379
standard,nearest,1000007,29,24,11,4,7,5,1,85,75,75,51,78,169.31000000000003,0.3793103448275862,0.8275862068965517,0.7142857142857143,3.125,3.25,0.0067900000146892125
standard,nearest,1000008,36,22,12,11,9,7,3,85,71,71,51,103,42.760000000000005,0.3333333333333333,0.6111111111111112,0.7777777777777778,3.227272727272727,4.681818181818182,0.006615000017973216
standard,nearest,1000009,32,21,10,7,9,6,4,84,73,73,51,89,44.96000000000002,0.3125,0.65625,0.6666666666666666,3.4761904761904763,4.238095238095238,0.0069860000166954705
standard,nearest,1000010,18,18,13,0,8,7,0,86,72,72,45,16,226.10000000000002,0.7222222222222222,1.0,0.875,4.0,0.8888888888888888,0.006350000006705159
standard,nearest,1000011,34,26,12,5,6,4,3,84,80,80,54,112,148.34000000000012,0.35294117647058826,0.7647058823529411,0.6666666666666666,3.076923076923077,4.3076923076923075,0.006860500008087911
standard,nearest,1000012,31,21,11,5,7,5,5,87,78,78,48,112,46.279999999999994,0.3548387096774194,0.6774193548387096,0.7142857142857143,3.7142857142857144,5.333333333333333,0.0067199999875811045
standard,nearest,1000013,23,19,11,1,3,2,3,83,76,76,51,77,90.15999999999997,0.4782608695652174,0.8260869565217391,0.6666666666666666,4.0,4.052631578947368,0.006605000010040385
standard,nearest,1000014,23,19,12,0,5,4,4,82,75,75,51,30,139.81000000000003,0.5217391304347826,0.8260869565217391,0.8,3.9473684210526314,1.5789473684210527,0.0066750000087267836
standard,nearest,1000015,25,25,16,0,6,5,0,87,71,71,45,45,264.25,0.64,1.0,0.8333333333333334,2.84,1.8,0.006560000002764355
standard,nearest,1000016,25,22,13,0,8,5,3,85,76,76,45,65,193.29999999999993,0.52,0.88,0.625,3.4545454545454546,2.9545454545454546,0.006820500004778296
standard,nearest,1000017,25,22,14,1,8,5,2,86,66,66,42,73,159.27000000000004,0.56,0.88,0.625,3.0,3.3181818181818183,0.006630000001450753
standard,nearest,1000018,36,22,10,11,9,4,3,85,71,71,48,101,-3.5700000000000145,0.2777777777777778,0.6111111111111112,0.4444444444444444,3.227272727272727,4.590909090909091,0.006985499965139752
standard,nearest,1000019,28,20,16,3,7,5,5,78,67,67,46,22,107.1600000000001,0.5714285714285714,0.7142857142857143,0.7142857142857143,3.35,1.1,0.00672499999154752
standard,nearest,1000020,22,17,9,2,9,5,3,82,70,70,45,95,88.95,0.4090909090909091,0.7727272727272727,0.5555555555555556,4.117647058823529,5.588235294117647,0.0065399999868986924
standard,nearest,1000021,38,22,8,13,11,4,3,88,71,71,45,172,-75.44999999999997,0.21052631578947367,0.5789473684210527,0.36363636363636365,3.227272727272727,7.818181818181818,0.006819999981644287
standard,nearest,1000022,43,23,11,17,7,4,3,85,74,74,51,85,-50.040000000000006,0.2558139534883721,0.5348837209302325,0.5714285714285714,3.217391304347826,3.6956521739130435,0.006810000002133165
standard,nearest,1000023,35,24,7,10,3,1,1,85,77,77,45,142,35.14999999999996,0.2,0.6857142857142857,0.3333333333333333,3.2083333333333335,5.916666666666667,0.00726099997905294
standard,nearest,1000024,27,21,16,2,7,6,4,83,72,72,51,31,157.6100000000001,0.5925925925925926,0.7777777777777778,0.8571428571428571,3.4285714285714284,1.4761904761904763,0.006584999994174723
standard,nearest,1000025,27,22,10,3,7,5,2,86,73,73,45,131,145.0,0.37037037037037035,0.8148148148148148,0.7142857142857143,3.3181818181818183,5.954545454545454,0.0069854999935614615
standard,nearest,1000026,37,20,12,11,14,7,6,85,70,70,48,79,-82.57,0.32432432432432434,0.5405405405405406,0.5,3.5,3.95,0.007120499986967843
standard,nearest,1000027,22,18,10,1,7,4,3,84,64,64,45,70,117.30000000000003,0.45454545454545453,0.8181818181818182,0.5714285714285714,3.5555555555555554,3.888888888888889,0.0068450000014763646
standard,nearest,1000028,25,24,14,0,9,8,1,85,75,75,51,96,252.3099999999999,0.56,0.96,0.8888888888888888,3.125,4.0,0.006855000009409196
standard,nearest,1000029,32,20,9,9,9,5,3,82,72,72,54,135,7.339999999999975,0.28125,0.625,0.5555555555555556,3.6,6.75,0.006905500015363941
standard,nearest,1000030,32,21,11,8,9,4,3,82,72,72,42,119,44.870000000000005,0.34375,0.65625,0.4444444444444444,3.4285714285714284,5.666666666666667,0.006909999967774638
standard,nearest,1000031,30,22,14,4,12,7,4,83,76,76,51,50,98.61000000000007,0.4666666666666667,0.7333333333333333,0.5833333333333334,3.4545454545454546,2.272727272727273,0.006685000016659615
standard,nearest,1000032,18,18,13,0,3,2,0,82,68,68,61,15,174.20999999999998,0.7222222222222222,1.0,0.6666666666666666,3.7777777777777777,0.8333333333333334,0.0062844999888511666
standard,nearest,1000033,24,23,16,0,10,7,1,87,69,69,42,46,245.81999999999996,0.6666666666666666,0.9583333333333334,0.7,3.0,2.0,0.006460000008701172
standard,nearest,1000034,23,23,10,0,3,1,0,84,72,72,54,70,204.63999999999993,0.43478260869565216,1.0,0.3333333333333333,3.130434782608696,3.0434782608695654,0.0068450000014763646
standard,nearest,1000035,35,23,12,11,10,7,1,86,75,75,45,133,61.89999999999999,0.34285714285714286,0.6571428571428571,0.7,3.260869565217391,5.782608695652174,0.006589999998141138
standard,nearest,1000036,35,23,11,8,5,3,4,85,75,75,45,119,31.74999999999998,0.3142857142857143,0.6571428571428571,0.6,3.260869565217391,5.173913043478261,0.006674999980305074
standard,nearest,1000037,30,18,8,8,7,4,4,85,67,67,45,176,-69.55000000000001,0.26666666666666666,0.6,0.5714285714285714,3.7222222222222223,9.777777777777779,0.007201000016721082
standard,nearest,1000038,28,23,12,3,5,4,2,84,73,73,48,88,133.42999999999998,0.42857142857142855,0.8214285714285714,0.8,3.1739130434782608,3.8260869565217392,0.007461499990313314
standard,nearest,1000039,33,22,10,9,3,2,2,85,72,72,42,120,21.57000000000001,0.30303030303030304,0.6666666666666666,0.6666666666666666,3.272727272727273,5.454545454545454,0.006845499967766955
standard,nearest,1000040,37,24,10,11,6,3,2,85,72,72,45,127,33.79999999999999,0.2702702702702703,0.6486486486486487,0.5,3.0,5.291666666666667,0.006950499994218262
standard,nearest,1000041,43,23,8,19,12,6,1,84,76,76,48,158,-87.32,0.18604651162790697,0.5348837209302325,0.5,3.3043478260869565,6.869565217391305,0.007006000004139423
standard,nearest,1000042,21,20,11,0,3,3,1,85,69,69,45,52,169.7000000000001,0.5238095238095238,0.9523809523809523,1.0,3.45,2.6,0.0067099999796482734
standard,nearest,1000043,23,23,19,0,4,4,0,82,72,72,51,17,237.4100000000001,0.8260869565217391,1.0,1.0,3.130434782608696,0.7391304347826086,0.006609999985585091
standard,nearest,1000044,25,22,13,1,5,2,2,86,68,68,42,32,140.12000000000003,0.52,0.88,0.4,3.090909090909091,1.4545454545454546,0.006735499994192651
standard,nearest,1000045,28,20,9,5,3,3,3,86,78,78,51,98,65.21000000000005,0.32142857142857145,0.7142857142857143,1.0,3.9,4.9,0.006655000021282831
standard,nearest,1000046,29,22,9,5,8,5,2,84,70,70,51,135,130.30999999999997,0.3103448275862069,0.7586206896551724,0.625,3.1818181818181817,6.136363636363637,0.006715000012036398
standard,nearest,1000047,25,21,12,3,10,7,1,87,72,72,39,108,166.49000000000007,0.48,0.84,0.7,3.4285714285714284,5.142857142857143,0.006729999995513936
standard,nearest,1000048,38,24,9,10,11,6,4,87,73,73,48,137,1.9299999999999855,0.23684210526315788,0.631578947368421,0.5454545454545454,3.0416666666666665,5.708333333333333,0.0069955000014942925
standard,nearest,1000049,35,22,9,9,11,6,4,82,70,70,48,137,39.08000000000005,0.2571428571428571,0.6285714285714286,0.5454545454545454,3.1818181818181817,6.2272727272727275,0.006869999992886733
standard,nearest,1000050,34,21,10,9,10,6,4,84,78,78,54,93,3.240000000000002,0.29411764705882354,0.6176470588235294,0.6,3.7142857142857144,4.428571428571429,0.007276000019373896
standard,nearest,1000051,32,22,11,6,9,3,4,80,73,73,51,69,72.01000000000002,0.34375,0.6875,0.3333333333333333,3.3181818181818183,3.1363636363636362,0.007160500018699167
standard,nearest,1000052,33,21,9,10,9,4,2,81,71,71,48,111,-12.469999999999972,0.2727272727272727,0.6363636363636364,0.4444444444444444,3.380952380952381,5.285714285714286,0.007501499993622929
standard,nearest,1000053,27,22,19,2,7,7,3,88,69,69,42,24,190.02000000000007,0.7037037037037037,0.8148148148148148,1.0,3.1363636363636362,1.0909090909090908,0.0067554999816366035
standard,nearest,1000054,25,21,12,1,8,5,3,86,74,74,45,51,159.85000000000008,0.48,0.84,0.625,3.5238095238095237,2.4285714285714284,0.006819999981644287
standard,nearest,1000055,32,24,8,7,1,0,1,85,77,77,48,118,82.12999999999998,0.25,0.75,0.0,3.2083333333333335,4.916666666666667,0.0066650000007939525
standard,nearest,1000056,26,18,9,2,6,2,6,86,71,71,51,71,16.859999999999943,0.34615384615384615,0.6923076923076923,0.3333333333333333,3.9444444444444446,3.9444444444444446,0.006574999986241892
standard,nearest,1000057,36,18,7,13,9,3,5,82,70,70,48,93,-161.21999999999997,0.19444444444444445,0.5,0.3333333333333333,3.888888888888889,5.166666666666667,0.006639999980961875
standard,nearest,1000058,37,22,11,11,10,7,4,86,71,71,45,138,-3.34999999999998,0.2972972972972973,0.5945945945945946,0.7,3.227272727272727,6.2727272727272725,0.006705000032525277
standard,nearest,1000059,38,22,9,12,9,4,4,86,77,77,42,155,-41.63000000000002,0.23684210526315788,0.5789473684210527,0.4444444444444444,3.5,7.045454545454546,0.007300500016071965
standard,nearest,1000060,28,24,14,2,2,1,2,82,77,77,45,36,170.19999999999993,0.5,0.8571428571428571,0.5,3.2083333333333335,1.5,0.006600000006073969
standard,nearest,1000061,30,23,13,3,8,6,4,83,73,73,51,61,138.91000000000005,0.43333333333333335,0.7666666666666667,0.75,3.1739130434782608,2.652173913043478,0.006660499991539837
standard,nearest,1000062,28,25,17,0,6,4,3,87,73,73,45,70,206.2,0.6071428571428571,0.8928571428571429,0.6666666666666666,2.92,2.8,0.006705000004103567
standard,nearest,1000063,28,22,14,3,5,3,3,83,74,74,57,43,141.07000000000014,0.5,0.7857142857142857,0.6,3.3636363636363638,1.9545454545454546,0.006409500002746427
standard,nearest,1000064,26,20,14,2,6,4,4,82,78,78,60,37,109.95000000000005,0.5384615384615384,0.7692307692307693,0.6666666666666666,3.9,1.85,0.006500000012010787
standard,nearest,1000065,26,20,10,3,4,2,3,87,74,74,39,84,73.54000000000002,0.38461538461538464,0.7692307692307693,0.5,3.7,4.2,0.00639499998555948
standard,nearest,1000066,28,20,15,4,6,3,4,86,71,71,48,40,55.880000000000095,0.5357142857142857,0.7142857142857143,0.5,3.55,2.0,0.0064444999736679165
standard,nearest,1000067,29,24,7,4,5,1,1,81,73,73,54,111,156.29000000000005,0.2413793103448276,0.8275862068965517,0.2,3.0416666666666665,4.625,0.006920499998841478
standard,nearest,1000068,24,22,10,0,4,4,2,86,75,75,45,60,181.79999999999998,0.4166666666666667,0.9166666666666666,1.0,3.409090909090909,2.727272727272727,0.00676999999882355
standard,nearest,1000069,29,24,13,3,7,6,2,87,74,74,48,94,178.2299999999999,0.4482758620689655,0.8275862068965517,0.8571428571428571,3.0833333333333335,3.9166666666666665,0.0064495000060560415
standard,nearest,1000070,34,20,10,11,9,4,3,82,71,71,51,107,-27.340000000000025,0.29411764705882354,0.5882352941176471,0.4444444444444444,3.55,5.35,0.006794999990233919
standard,nearest,1000071,36,22,10,12,6,4,2,83,79,79,51,107,18.26000000000001,0.2777777777777778,0.6111111111111112,0.6666666666666666,3.590909090909091,4.863636363636363,0.007236000044485991
standard,nearest,1000072,23,23,17,0,6,3,0,83,74,74,51,25,248.71000000000015,0.7391304347826086,1.0,0.5,3.217391304347826,1.0869565217391304,0.006490000004077956
standard,nearest,1000073,26,23,11,2,8,4,1,84,76,76,51,121,175.0600000000001,0.4230769230769231,0.8846153846153846,0.5,3.3043478260869565,5.260869565217392,0.0069760000087626395
standard,nearest,1000074,35,25,11,8,10,6,2,83,73,73,51,141,100.96000000000002,0.3142857142857143,0.7142857142857143,0.6,2.92,5.64,0.007040000014058023
