scenario,policy,scenario_seed,requests,delivered,on_time,rejected,travel_ticks,total_delay,reward,unfinished,on_time_rate,completion_rate,mean_delay,travel_per_delivery
standard,nearest,100000,12,12,11,0,40,2,104.60000000000008,0,0.9166666666666666,1.0,0.16666666666666666,3.3333333333333335
standard,nearest,100001,15,15,12,0,47,13,124.45000000000009,0,0.8,1.0,0.8666666666666667,3.1333333333333333
standard,nearest,100002,14,14,12,0,48,5,119.70000000000009,0,0.8571428571428571,1.0,0.35714285714285715,3.4285714285714284
standard,nearest,100003,13,13,9,0,46,8,108.3000000000001,0,0.6923076923076923,1.0,0.6153846153846154,3.5384615384615383
standard,nearest,100004,15,13,8,2,45,26,80.05000000000001,0,0.5333333333333333,0.8666666666666667,2.0,3.4615384615384617
standard,nearest,100005,14,14,14,0,43,0,124.95000000000002,0,1.0,1.0,0.0,3.0714285714285716
standard,nearest,100006,16,15,14,1,47,1,124.8500000000001,0,0.875,0.9375,0.06666666666666667,3.1333333333333333
standard,nearest,100007,13,13,12,0,40,1,115.30000000000008,0,0.9230769230769231,1.0,0.07692307692307693,3.076923076923077
standard,nearest,100008,15,14,10,1,48,9,108.90000000000009,0,0.6666666666666666,0.9333333333333333,0.6428571428571429,3.4285714285714284
standard,nearest,100009,16,16,16,0,39,0,146.35000000000014,0,1.0,1.0,0.0,2.4375
standard,nearest,100010,13,13,11,0,46,3,111.80000000000014,0,0.8461538461538461,1.0,0.23076923076923078,3.5384615384615383
standard,nearest,100011,13,13,12,0,48,2,111.80000000000007,0,0.9230769230769231,1.0,0.15384615384615385,3.6923076923076925
standard,nearest,100012,15,14,13,1,45,7,111.35000000000008,0,0.8666666666666667,0.9333333333333333,0.5,3.2142857142857144
standard,nearest,100013,18,16,15,2,48,4,124.4000000000001,0,0.8333333333333334,0.8888888888888888,0.25,3.0
standard,nearest,100014,23,13,7,9,48,43,-1.8000000000000025,1,0.30434782608695654,0.5652173913043478,3.3076923076923075,3.6923076923076925
standard,nearest,100015,17,15,15,2,44,0,118.60000000000005,0,0.8823529411764706,0.8823529411764706,0.0,2.933333333333333
standard,nearest,100016,14,14,13,0,46,2,122.50000000000013,0,0.9285714285714286,1.0,0.14285714285714285,3.2857142857142856
standard,nearest,100017,14,14,11,0,46,4,121.10000000000008,0,0.7857142857142857,1.0,0.2857142857142857,3.2857142857142856
standard,nearest,100018,14,13,11,1,45,7,101.35,0,0.7857142857142857,0.9285714285714286,0.5384615384615384,3.4615384615384617
standard,nearest,100019,13,13,10,0,48,8,107.60000000000008,0,0.7692307692307693,1.0,0.6153846153846154,3.6923076923076925
standard,nearest,100020,15,14,10,1,42,8,111.70000000000007,0,0.6666666666666666,0.9333333333333333,0.5714285714285714,3.0
standard,nearest,100021,10,10,10,0,37,0,87.05000000000005,0,1.0,1.0,0.0,3.7
standard,nearest,100022,14,13,13,0,48,0,105.20000000000005,1,0.9285714285714286,0.9285714285714286,0.0,3.6923076923076925
standard,nearest,100023,15,14,13,1,44,1,115.90000000000006,0,0.8666666666666667,0.9333333333333333,0.07142857142857142,3.142857142857143
standard,nearest,100024,17,16,11,1,48,8,129.6000000000001,0,0.6470588235294118,0.9411764705882353,0.5,3.0
standard,nearest,100025,11,11,11,0,47,0,93.55000000000008,0,1.0,1.0,0.0,4.2727272727272725
standard,nearest,100026,15,13,12,2,45,1,97.55000000000003,0,0.8,0.8666666666666667,0.07692307692307693,3.4615384615384617
standard,nearest,100027,12,12,12,0,35,0,107.75,0,1.0,1.0,0.0,2.9166666666666665
standard,nearest,100028,19,15,11,4,48,5,97.70000000000005,0,0.5789473684210527,0.7894736842105263,0.3333333333333333,3.2
standard,nearest,100029,16,15,12,1,47,6,121.35000000000008,0,0.75,0.9375,0.4,3.1333333333333333
standard,nearest,100030,12,12,12,0,43,0,104.95000000000005,0,1.0,1.0,0.0,3.5833333333333335
standard,nearest,100031,15,12,7,2,48,16,66.60000000000002,1,0.4666666666666667,0.8,1.3333333333333333,4.0
standard,nearest,100032,15,15,13,0,45,10,127.25000000000009,0,0.8666666666666667,1.0,0.6666666666666666,3.0
standard,nearest,100033,13,13,13,0,41,0,115.65000000000003,0,1.0,1.0,0.0,3.1538461538461537
standard,nearest,100034,14,13,10,1,46,6,101.70000000000003,0,0.7142857142857143,0.9285714285714286,0.46153846153846156,3.5384615384615383
standard,nearest,100035,17,16,14,1,43,2,135.55000000000007,0,0.8235294117647058,0.9411764705882353,0.125,2.6875
standard,nearest,100036,20,14,8,6,48,33,52.1,0,0.4,0.7,2.357142857142857,3.4285714285714284
standard,nearest,100037,16,14,13,2,46,4,105.10000000000005,0,0.8125,0.875,0.2857142857142857,3.2857142857142856
standard,nearest,100038,12,12,12,0,47,0,103.5500000000001,0,1.0,1.0,0.0,3.9166666666666665
standard,nearest,100039,11,11,11,0,37,0,97.05000000000003,0,1.0,1.0,0.0,3.3636363636363638
standard,nearest,100040,13,13,13,0,37,0,117.05000000000007,0,1.0,1.0,0.0,2.8461538461538463
standard,nearest,100041,13,13,13,0,41,0,115.65000000000006,0,1.0,1.0,0.0,3.1538461538461537
standard,nearest,100042,13,13,13,0,39,0,116.35000000000008,0,1.0,1.0,0.0,3.0
standard,nearest,100043,17,17,16,0,47,1,152.8500000000001,0,0.9411764705882353,1.0,0.058823529411764705,2.764705882352941
standard,nearest,100044,13,13,11,0,46,3,111.80000000000004,0,0.8461538461538461,1.0,0.23076923076923078,3.5384615384615383
standard,nearest,100045,15,15,13,0,39,5,132.85000000000008,0,0.8666666666666667,1.0,0.3333333333333333,2.6
standard,nearest,100046,16,14,11,2,47,8,101.9500000000001,0,0.6875,0.875,0.5714285714285714,3.357142857142857
standard,nearest,100047,19,15,11,4,45,7,97.35000000000005,0,0.5789473684210527,0.7894736842105263,0.4666666666666667,3.0
standard,nearest,100048,14,14,14,0,46,0,123.90000000000009,0,1.0,1.0,0.0,3.2857142857142856
standard,nearest,100049,17,14,12,3,45,3,98.15,0,0.7058823529411765,0.8235294117647058,0.21428571428571427,3.2142857142857144
standard,nearest,100050,17,14,8,2,48,13,89.40000000000006,1,0.47058823529411764,0.8235294117647058,0.9285714285714286,3.4285714285714284
standard,nearest,100051,17,14,9,3,48,24,82.40000000000008,0,0.5294117647058824,0.8235294117647058,1.7142857142857142,3.4285714285714284
standard,nearest,100052,18,13,8,3,48,19,59.90000000000002,2,0.4444444444444444,0.7222222222222222,1.4615384615384615,3.6923076923076925
standard,nearest,100053,16,13,9,3,46,21,75.20000000000003,0,0.5625,0.8125,1.6153846153846154,3.5384615384615383
standard,nearest,100054,15,13,9,2,46,7,93.00000000000001,0,0.6,0.8666666666666667,0.5384615384615384,3.5384615384615383
standard,nearest,100055,13,12,8,1,44,10,89.60000000000005,0,0.6153846153846154,0.9230769230769231,0.8333333333333334,3.6666666666666665
standard,nearest,100056,15,14,11,0,48,9,104.70000000000007,1,0.7333333333333333,0.9333333333333333,0.6428571428571429,3.4285714285714284
standard,nearest,100057,11,11,11,0,40,0,96.00000000000003,0,1.0,1.0,0.0,3.6363636363636362
standard,nearest,100058,12,12,11,0,45,1,103.55000000000007,0,0.9166666666666666,1.0,0.08333333333333333,3.75
standard,nearest,100059,13,13,13,0,42,0,115.30000000000007,0,1.0,1.0,0.0,3.230769230769231
standard,nearest,100060,16,15,14,1,44,2,125.20000000000007,0,0.875,0.9375,0.13333333333333333,2.933333333333333
standard,nearest,100061,14,13,10,1,45,5,102.75000000000001,0,0.7142857142857143,0.9285714285714286,0.38461538461538464,3.4615384615384617
standard,nearest,100062,11,11,11,0,42,0,95.30000000000007,0,1.0,1.0,0.0,3.8181818181818183
standard,nearest,100063,15,13,13,2,38,0,100.70000000000002,0,0.8666666666666667,0.8666666666666667,0.0,2.923076923076923
standard,nearest,100064,17,14,10,3,43,14,91.15,0,0.5882352941176471,0.8235294117647058,1.0,3.0714285714285716
standard,nearest,100065,20,14,9,4,46,25,55.60000000000001,2,0.45,0.7,1.7857142857142858,3.2857142857142856
standard,nearest,100066,18,16,9,2,48,23,111.10000000000007,0,0.5,0.8888888888888888,1.4375,3.0
