training_seed,episode,training_reward,validation_reward
11,250,70.25680000000001,50.49250000000001
11,500,77.52940000000002,0.0006249999999994316
11,750,76.46020000000001,22.63375
11,1000,78.51960000000004,41.090624999999996
11,1250,85.57680000000002,74.22062500000001
11,1500,89.42620000000004,95.12187500000002
11,1750,94.23940000000002,101.97937500000003
11,2000,101.11320000000003,105.19250000000002
11,2250,103.40820000000004,111.59500000000006
11,2500,108.64440000000005,111.19062500000004
11,2750,106.72360000000005,112.76875000000004
11,3000,109.72460000000005,111.63875000000007
22,250,74.24420000000002,-7.773125000000005
22,500,73.48580000000001,7.291250000000005
22,750,76.76220000000002,29.858749999999997
22,1000,74.27540000000002,49.93625
22,1250,83.24820000000004,73.23125000000002
22,1500,91.27220000000004,94.28937500000004
22,1750,93.38960000000003,99.18875000000003
22,2000,98.56780000000003,107.33812500000003
22,2250,105.12120000000004,111.18625000000006
22,2500,108.97260000000004,111.76500000000006
22,2750,109.57380000000005,112.50187500000007
22,3000,110.65420000000005,111.93187500000003
33,250,75.29540000000003,44.679375000000014
33,500,77.21900000000002,-17.925624999999993
33,750,75.08680000000001,18.665625
33,1000,78.70720000000003,61.828750000000014
33,1250,82.36100000000003,74.19437500000002
33,1500,91.12360000000004,96.27500000000003
33,1750,95.32440000000003,100.06562500000004
33,2000,99.84180000000005,107.22250000000004
33,2250,104.43180000000005,110.21562500000005
33,2500,110.86480000000005,111.37187500000005
33,2750,109.44480000000004,112.24875000000006
33,3000,111.48940000000005,111.61062500000007
